WARNING 2019-04-18 08:21:45,262 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
INFO 2019-04-18 08:21:45,272 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2019-04-18 08:21:45,278 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
INFO 2019-04-18 08:21:45,292 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 200 3935
WARNING 2019-04-18 08:22:02,135 base 152 Not Found: /staic/index.html
WARNING 2019-04-18 08:22:02,137 basehttp 124 "GET /staic/index.html HTTP/1.1" 404 2158
INFO 2019-04-18 08:23:28,035 basehttp 124 "GET /register/ HTTP/1.1" 200 3866
WARNING 2019-04-18 08:23:28,064 base 152 Not Found: /register/images/logo.png
WARNING 2019-04-18 08:23:28,064 basehttp 124 "GET /register/images/logo.png HTTP/1.1" 404 2182
WARNING 2019-04-18 08:23:28,075 base 152 Not Found: /register/images/pic_code.jpg
WARNING 2019-04-18 08:23:28,079 base 152 Not Found: /register/js/register.js
WARNING 2019-04-18 08:23:28,080 basehttp 124 "GET /register/images/pic_code.jpg HTTP/1.1" 404 2194
WARNING 2019-04-18 08:23:28,081 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
INFO 2019-04-18 08:24:23,745 basehttp 124 "GET /register/ HTTP/1.1" 200 3866
WARNING 2019-04-18 08:24:23,808 base 152 Not Found: /register/images/logo.png
WARNING 2019-04-18 08:24:23,812 base 152 Not Found: /register/js/register.js
WARNING 2019-04-18 08:24:23,815 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
WARNING 2019-04-18 08:24:23,816 basehttp 124 "GET /register/images/logo.png HTTP/1.1" 404 2182
WARNING 2019-04-18 08:24:23,817 base 152 Not Found: /register/images/pic_code.jpg
WARNING 2019-04-18 08:24:23,818 basehttp 124 "GET /register/images/pic_code.jpg HTTP/1.1" 404 2194
WARNING 2019-04-18 08:24:25,352 base 152 Not Found: /staic/index.html
WARNING 2019-04-18 08:24:25,360 basehttp 124 "GET /staic/index.html HTTP/1.1" 404 2158
INFO 2019-04-18 08:26:38,808 basehttp 124 "GET /register/ HTTP/1.1" 200 3866
WARNING 2019-04-18 08:26:38,863 base 152 Not Found: /register/images/logo.png
WARNING 2019-04-18 08:26:38,863 basehttp 124 "GET /register/images/logo.png HTTP/1.1" 404 2182
WARNING 2019-04-18 08:26:38,869 base 152 Not Found: /register/images/pic_code.jpg
WARNING 2019-04-18 08:26:38,870 basehttp 124 "GET /register/images/pic_code.jpg HTTP/1.1" 404 2194
WARNING 2019-04-18 08:26:38,874 base 152 Not Found: /register/js/register.js
WARNING 2019-04-18 08:26:38,874 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
